date,carbon,森林蓄积,中幼龄,受害,木材
2005,2400.943929,236624.39,159129.902,1795599,1305.85
2006,2488.56882,346777.54,196168.899,2989799.9,1570.06
2007,2416.900366,346777.54,233207.896,3136746,765.55
2008,2223.575825,346777.54,227707.598,2682875,1493.85
2009,2361.256233,374464.61,222207.3,2436020,1424.52
2010,2512.683881,374464.61,222207.3,2703794,1562.51
2011,2409.520858,374464.61,222207.3,2642395.277,1186.51
2012,2517.087125,374464.61,234626.135,2571968,1024.78
2013,1450.45188,416321.15,247044.97,2618907,931.55
2014,1519.959061,416321.15,308093.7924,2599228,936.68
2015,2780.181624,416321.15,282870.1964,2496288,753.18
2016,2538.448562,416321.152,253706.109,2296228,576.38
2017,2614.856723,416321.15,220601.5302,2296084,554.82
2018,2570.127404,416321.15,183556.46,17549,554.82
2019,,468453.16,343602.7254,12141176.25,481.55
